ride_id,customer_id,driver_id,start_location,end_location,city,country,ride_date,ride_time,ride_duration_minutes,fare_amount,ride_distance_miles,payment_method,voucher,rating,ride_hour,gender,created_at,rating_int,cluster
5883.0,242,353.0,9 Ohio Avenue,2087 Oak Crossing,Lubień,Poland,2024-10-11,21:18,14.0,97.15,6.8,cash,no_voucher,5.0,,Male,1/14/2024,5,2
7978.0,7660,861.0,017 Raven Hill,1 Rockefeller Lane,Springfield,United States,2024-01-21,08:13,63.0,11.54,8.9,credit card,no_voucher,3.0,,Female,9/19/2024,3,3
7765.0,1235,892.0,60542 La Follette Road,3 Blackbird Pass,Ob’,Russia,2024-05-25,13:38,52.0,41.04,0.8,cash,no_voucher,4.0,,Female,3/27/2024,4,6
2106.0,10548,9.0,8 Fuller Park,649 Hooker Court,Chilmāri,Bangladesh,2024-06-29,21:27,12.0,66.56,10.1,mobile wallet,no_voucher,2.0,,Female,07/07/2024,2,1
8936.0,3087,66.0,365 Manufacturers Crossing,83 Superior Hill,Jixing,China,2024-05-13,01:06,78.0,32.56,3.5,credit card,no_voucher,4.0,,Female,1/14/2024,4,6
5014.0,7880,771.0,923 Hanover Drive,102 Pankratz Junction,Krasni Okny,Ukraine,2024-01-17,19:32,39.0,20.25,15.2,mobile wallet,no_voucher,3.0,,Male,10/11/2024,3,0
6009.0,6711,155.0,83 American Drive,3 Sheridan Terrace,Nyíregyháza,Hungary,2024-02-13,20:33,55.0,43.72,10.4,mobile wallet,no_voucher,5.0,,Female,12/17/2024,5,6
7217.0,8315,896.0,6361 Vera Lane,75 Schurz Hill,Aranhas,Portugal,2024-08-20,13:05,99.0,97.43,1.4,credit card,no_voucher,4.0,,Male,02/10/2024,4,7
6442.0,2838,238.0,7776 Harbort Plaza,614 Harbort Park,Linmansangan,Philippines,2024-12-11,15:39,16.0,15.05,4.7,credit card,no_voucher,4.0,,Male,12/19/2024,4,6
6232.0,10523,365.0,20 Straubel Trail,79 Dryden Place,Juatuba,Brazil,2024-11-27,17:05,9.0,26.09,17.1,credit card,456JKL,3.0,,Agender,4/15/2024,3,0
7164.0,2741,720.0,3340 Trailsway Point,2913 Ridgeview Crossing,Thanh Khê,Vietnam,2024-05-31,01:21,120.0,60.55,19.7,mobile wallet,no_voucher,4.0,,Female,10/29/2024,4,4
7257.0,1108,47.0,7 Ryan Way,664 Pleasure Pass,Waoundé,Senegal,2024-07-03,20:06,41.0,66.72,11.9,cash,ABC123,5.0,,Female,10/02/2024,5,5
4534.0,3219,198.0,0527 Charing Cross Street,38167 Redwing Point,Junchuan,China,2024-02-20,11:26,83.0,66.31,0.8,credit card,MNO789,4.0,,Female,8/29/2024,4,7
1331.0,8075,308.0,017 Badeau Alley,12669 Little Fleur Road,El Cafetal,Venezuela,2024-01-06,17:53,86.0,29.64,4.5,mobile wallet,no_voucher,4.0,,Female,07/02/2024,4,6
3894.0,6145,461.0,47 Golf Course Park,26825 Bonner Hill,Cololaca,Honduras,2024-08-16,04:27,105.0,72.1,10.4,cash,no_voucher,5.0,,Female,09/10/2024,5,7
6037.0,1890,231.0,5057 Reindahl Circle,174 Commercial Hill,Cherëmukhovo,Russia,2024-08-13,19:22,72.0,95.58,6.7,credit card,no_voucher,3.0,,Genderfluid,9/19/2024,3,7
5656.0,6459,653.0,94 Fisk Point,87 Sommers Place,Aglipay,Philippines,2024-05-04,09:44,95.0,54.77,14.3,credit card,PQR123,3.0,,Male,10/12/2024,3,1
8712.0,1791,132.0,1407 Mayer Crossing,5791 Kim Court,Xam Nua,Laos,2024-09-16,03:11,17.0,32.05,14.7,mobile wallet,no_voucher,4.0,,Male,12/22/2024,4,0
1878.0,7583,639.0,62483 Lukken Way,5 Jay Center,Vale Mourão,Portugal,2024-07-31,21:44,46.0,79.83,11.0,credit card,no_voucher,4.0,,Female,4/29/2024,4,2
5480.0,3423,866.0,182 Swallow Road,05 Everett Plaza,Lingqiao,China,2024-03-05,22:55,30.0,16.23,12.9,credit card,PQR123,3.0,,Agender,02/07/2024,3,0
4316.0,1157,589.0,75 Gale Plaza,106 Kropf Plaza,Aiquile,Bolivia,2024-07-03,06:57,89.0,32.53,19.0,mobile wallet,no_voucher,4.0,,Female,7/15/2024,4,4
6753.0,8228,284.0,06 Pine View Way,962 Fuller Crossing,Lunéville,France,2024-03-24,00:07,63.0,74.57,4.0,credit card,XYZ456,5.0,,Male,6/22/2024,5,2
3108.0,669,122.0,53 Nova Drive,66951 Florence Court,La Esperanza,Peru,2024-04-29,12:53,86.0,8.96,2.7,mobile wallet,no_voucher,4.0,,Male,11/24/2024,4,6
